T0,t,x_1,x_2,x_3,vx_1,vx_2,vx_3
2458369.5,0.0,42122.835,1e-09,0.0,0.0,1.662891644615296,2.589800292587956
2458369.5,864.0,42039.01347492312,1435.785251920584,2236.103042285145,-0.19396673804432976,1.6595826119654058,2.584646779577886
2458369.5,1728.0,41787.883494561276,2865.85632280228,4463.306774881814,-0.3871592132881738,1.649668801690998,2.569206934875767
2458369.5,2592.0,41370.4474840432,4284.521976797992,6672.747623117346,-0.5788063087310467,1.6331900215728148,2.5435427554268255
2458369.5,3456.0,40788.37162622876,5686.136773050602,8855.633333791786,-0.7681431853089192,1.6102124340218047,2.5077572830809554
2458369.5,4320.0,40043.979093813905,7065.123725166637,11003.278265215644,-0.9544143867770651,1.5808282811517385,2.461994176418681
2458369.5,5184.0,39140.24061543694,8415.996676314868,13107.138234361293,-1.136876903895552,1.5451555016908207,2.406437114126344
2458369.5,6048.0,38080.76241668055,9733.382297239525,15158.844776738686,-1.3148031846916006,1.5033372415280515,2.3413090327172252
2458369.5,6912.0,36869.77158817157,11012.041616242292,17150.238677355614,-1.487484077860811,1.4555412601830366,2.266871202163044
2458369.5,7776.0,35512.09894401018,12246.89099237239,19073.40263452596,-1.6542316967244666,1.4019592359661055,2.183422143744956
2458369.5,8640.0,34013.15944445491,13433.02244565489,20920.692922324324,-1.81438219157987,1.3428059730559987,2.091296395150219
2458369.5,9504.0,32378.930267095548,14565.723261167408,22684.76992212649,-1.9672984187614921,1.278318514162256,1.990863128525745
2458369.5,10368.0,30615.926620610488,15640.494787125444,24358.627398892735,-2.112372495268804,1.2087551628562199,1.8825246278488472
2458369.5,11232.0,28731.17540458246,16653.070350836173,25935.620403612684,-2.249028228407697,1.134394420045929,1.7667146325850291
2458369.5,12096.0,26732.186827691137,17599.43222040636,27409.49168960022,-2.3767234105318105,1.0555338394340574,1.6438965551693343
2458369.5,12960.0,24626.92410487463,18475.82754441783,28774.396537067194,-2.4949519696529263,0.9724888071326551,1.5145615803689187
2458369.5,13824.0,22423.771361718467,19278.78320638748,30024.9258875742,-2.6032459674107438,0.8855912509122622,1.3792266550576495
2458369.5,14688.0,20131.499881359174,20005.119535681377,31156.127697514083,-2.7011774366465393,0.79518828483478,1.2384323773568675
2458369.5,15552.0,17759.232835554612,20651.962821625297,32163.526427684392,-2.7883600516069484,0.701640795258371,1.0927407944684973
2458369.5,16416.0,15316.408647252505,21216.756582819376,33043.14059420503,-2.8644506246080597,0.6053219744080155,0.9427331188465051
2458369.5,17280.0,12812.743136965888,21697.271549092075,33791.49831449052,-2.929150423810607,0.5066158078768178,0.7890073726197472
