T0,t,x_1,x_2,x_3,vx_1,vx_2,vx_3
2458369.5,0.0,42122.835,0.0,1e-08,0.0,1.662891644615296,2.589800292587956
2458369.5,864.0,42039.01347492312,1435.7852519195856,2236.1030422951244,-0.19396673804432635,1.65958261196541,2.5846467795778403
2458369.5,1728.0,41787.88349456128,2865.8563228012877,4463.306774891735,-0.3871592132881602,1.649668801691007,2.569206934875676
2458369.5,2592.0,41370.44748404322,4284.52197679701,6672.747623127171,-0.5788063087310164,1.6331900215728299,2.543542755426692
2458369.5,3456.0,40788.37162622883,5686.136773049635,8855.633333801477,-0.768143185308866,1.6102124340218271,2.5077572830807813
2458369.5,4320.0,40043.979093814036,7065.123725165694,11003.27826522517,-0.954414386776983,1.58082828115177,2.4619941764184694
2458369.5,5184.0,39140.24061543715,8415.996676313956,13107.138234370623,-1.1368769038954356,1.5451555016908634,2.4064371141260996
2458369.5,6048.0,38080.76241668087,9733.382297238657,15158.844776747792,-1.3148031846914456,1.5033372415281079,2.3413090327169535
2458369.5,6912.0,36869.77158817204,11012.04161624148,17150.238677364476,-1.4874840778606138,1.455541260183109,2.2668712021627497
2458369.5,7776.0,35512.098944010846,12246.890992371646,19073.402634534563,-1.6542316967242239,1.401959235966197,2.183422143744645
2458369.5,8640.0,34013.159444455814,13433.022445654233,20920.69292233265,-1.8143821915795804,1.3428059730561122,2.0912963951498984
2458369.5,9504.0,32378.930267096715,14565.723261166862,22684.769922134536,-1.9672984187611546,1.2783185141623947,1.9908631285254208
2458369.5,10368.0,30615.92662061197,15640.49478712503,24358.627398900502,-2.1123724952684184,1.2087551628563868,1.882524627848527
2458369.5,11232.0,28731.175404584297,16653.070350835915,25935.620403620178,-2.2490282284072642,1.1343944200461271,1.7667146325847198
2458369.5,12096.0,26732.186827693367,17599.43222040629,27409.491689607457,-2.3767234105313335,1.0555338394342895,1.6438965551690432
2458369.5,12960.0,24626.924104877293,18475.827544417974,28774.39653707419,-2.494951969652408,0.9724888071329238,1.5145615803686523
2458369.5,13824.0,22423.771361721592,19278.783206387878,30024.925887580983,-2.6032459674101887,0.8855912509125703,1.3792266550574144
