  ,Iteration ,Sigma 0                ,X (km)           ,Y (km)                ,Z (km)                ,Vx (km/s)             ,Vy (km/s)        ,Vz (km/s)        ,Sigma x               ,Sigma y                ,Sigma z                ,Sigma vx               ,Sigma vy               ,Sigma vz
0 ,      1.0 ,0.0036906247395490674  ,42122.8345579391 ,0.000122019503834863  ,-0.000232407379506672 ,8.96433835599589e-08  ,1.66289155027589 ,2.5898003365058  ,2.378185015083319e-05 ,0.00017955958971301692 ,0.00012217235570523584 ,3.8110519655192704e-13 ,3.924861544841164e-12  ,4.4733732656040333e-13
1 ,      2.0 ,0.0013072938839609435  ,42122.8348434102 ,4.32333058035524e-05  ,-8.23383306411186e-05 ,3.1754081490175e-08   ,1.66289161119811 ,2.58980030814492 ,7.975381838744087e-06 ,5.415783762576585e-05  ,5.979020262174674e-05  ,5.894292578484968e-14  ,4.4165142788685004e-13 ,6.468455001575365e-14
2 ,      3.0 ,0.00021268360962512574 ,42122.8349745231 ,7.03886740644574e-06  ,-1.34024899408809e-05 ,5.16633327868511e-09  ,1.66289163917854 ,2.58980029511909 ,2.526937453658725e-06 ,7.848645001165896e-06  ,1.1933539875824529e-05 ,5.3684647582191567e-14 ,2.374010703158165e-14  ,1.2636960028606354e-14
3 ,      4.0 ,6.518033245702055e-06  ,42122.834999219  ,2.16664431630754e-07  ,-4.12024710564794e-07 ,1.58371349308145e-10  ,1.66289164444868 ,2.58980029266555 ,9.031476055062984e-08 ,2.3423781462995386e-07 ,3.8214348008903113e-07 ,2.130102818663165e-15  ,5.968156004562706e-16  ,4.453165560110484e-16
4 ,      5.0 ,6.6535302349899446e-09 ,42122.8349999992 ,2.41726792730057e-10  ,-4.38131627576418e-10 ,1.55702111317304e-13  ,1.66289164461513 ,2.58980029258804 ,9.264826721974822e-11 ,2.388989444112455e-10  ,3.906430859095589e-10  ,2.191655869599038e-18  ,6.061381815551188e-19  ,4.567785939860519e-19
5 ,      6.0 ,8.56921830292502e-11   ,42122.835        ,-9.34145379872516e-12 ,-9.19901284551027e-12 ,9.32951709860443e-16  ,1.6628916446153  ,2.58980029258796 ,1.193241997185746e-12 ,3.0768252965555174e-12 ,5.031179747259355e-12  ,2.822700254871579e-20  ,7.806537993353851e-21  ,5.882974110030915e-21
6 ,      7.0 ,7.245374297292165e-10  ,42122.8350000001 ,5.39721211399859e-12  ,7.56035448587494e-12  ,-4.87521718579272e-16 ,1.6628916446153  ,2.58980029258796 ,1.008900949778526e-11 ,2.6014920633426158e-11 ,4.2539217881850384e-11 ,2.386626586714744e-19  ,6.600519314858057e-20  ,4.974124314556738e-20
